Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.kg,DietBreadth,HabitatBreadth,InterbirthInterval.d,LitterSize,MaxLongevity.y,SexualMaturityAge.y,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.cm,Temp.Mean.1degC
Prionodon linsang,Negative,Negative,NA,no,31.92,1.68,10.47,1,0.68,6,1,182.5,2.3,10.7,NA,NA,1202013.54,3.95,107.22,172.11,23.65,24.98
Atelocynus microtis,Negative,Negative,NA,no,-6.83,85.22,-17.36,NA,8.36,1,1,NA,NA,11,NA,NA,7634256.6,-13.76,-61.08,7.43,16.31,23.55
Hemigalus derbyanus,Negative,Negative,NA,no,59.14,-16.57,-24.53,1,1.26,6,1,NA,1.73,12,NA,69.6,1431386.4,4.74,107.22,70.76,24.52,24.89
Paradoxurus jerdoni,Negative,Negative,NA,no,59.2,-16.61,-24.6,1,3.53,6,1,NA,3,12,NA,NA,14283.81,10.64,76.76,468.69,16.71,25.7
Viverra tangalunga,Negative,Negative,NA,no,59.01,-16.49,-24.37,1,7.35,6,1,NA,1.92,12,NA,NA,1304276.8,0.54,107.22,67.69,24.46,24.85
Pteronura brasiliensis,Negative,Negative,monogamous,yes,-56.4,-20.87,-0.31,3,26,1,2,365,2.12,12.83,NA,120.48,8075624.21,-8.52,-57.02,6.27,16.27,24.54
Herpestes urva,Negative,Negative,NA,NA,62.12,-18.72,-28.78,1,2.38,6,1,NA,3,13.33,NA,NA,3243514.37,17.26,103.99,222.81,14.49,19.48
Lycalopex gymnocercus,Negative,Negative,monogamous,no,-6.83,85.29,-17.38,1,4.54,7,1,365,3.09,13.7,NA,NA,2321073.61,-26.27,-59.02,22.93,8.53,18.53
Arctonyx collaris,Negative,Negative,NA,no,-55.41,-20.04,-0.29,1,8.17,6,1,NA,3,13.92,NA,165.64,4519063.86,16.92,107.06,250.46,12.45,16.97
Bdeogale nigripes,Negative,Negative,NA,no,62.2,-18.77,-28.88,1,2.62,6,1,NA,1,15.83,NA,NA,3117248.8,0.73,19.61,21.16,14.55,24.22
Catopuma temminckii,Negative,Negative,NA,no,44.91,5.04,66.65,NA,7.73,1,1,NA,1.5,18,NA,NA,3437288.13,11.88,104.15,147.92,15.66,19.72
Paguma larvata,Negative,Negative,NA,no,59.19,-16.6,-24.58,1,4.3,6,1,182.5,2.16,18,NA,109.13,5422715.54,15.3,96.38,171.13,14.96,17.61
Viverra zibetha,Negative,Negative,NA,no,59.01,-16.49,-24.37,1,9.15,6,1,182.5,2.89,20,NA,NA,4064204.47,16.64,103.93,189.5,14.94,18.79
Vulpes macrotis,Negative,Negative,polygamous,yes,-6.8,84.34,-17.14,NA,4.5,NA,NA,NA,4.5,20,NA,NA,1790499.14,32.77,-111.19,13.4,2.42,13.54
Arctocephalus townsendi,Negative,Negative,polygamous,yes,-42.1,-5.27,0.03,NA,101.06,1,2,365,1,24,NA,328.13,NA,NA,NA,NA,NA,NA
Helarctos malayanus,Negative,Negative,NA,no,-32.93,-1.32,0.05,1,57.08,3,1,NA,1.1,24.8,NA,90.36,2525372.13,9.67,108.18,97.72,20.02,24.39
Mellivora capensis,Negative,Negative,polygamous,NA,-49.72,-15.28,-0.2,2,9,6,1,182.5,2.35,26.5,NA,23.86,27823522.11,4.13,35.1,54.67,6.61,23.66
Genetta cristata,Negative,Negative,NA,NA,59.86,-17.04,-25.4,1,1.86,2,NA,NA,2.5,34,NA,NA,210874.67,5.47,9.98,113.75,17.96,24.2
Tremarctos ornatus,Negative,Negative,polygamous,no,-32.83,-1.31,0.05,2,123.18,5,1,NA,1.44,36.42,NA,173.44,409517.73,-5.52,-71.63,35.22,12.54,17.98
Arctocephalus philippii,Negative,Negative,polygamous,yes,-42.1,-5.27,0.03,NA,95,6,2,365,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bassaricyon alleni,Negative,Negative,NA,NA,-50.04,-15.39,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,467192.71,-7.01,-71.69,2.2,20.88,25.81
Bassaricyon beddardi,Negative,Negative,NA,NA,-50.04,-15.39,-0.2,1,1.24,NA,1,NA,NA,NA,NA,NA,441326.32,2.85,-64.01,0.69,18.63,23.99
Bassaricyon lasius,Negative,Negative,NA,NA,-50.04,-15.39,-0.2,1,1.2,NA,1,NA,NA,NA,NA,NA,3842.65,10.06,-83.83,196.05,23.82,21.82
Bassaricyon pauli,Negative,Negative,NA,NA,-50.04,-15.39,-0.2,1,1.2,NA,1,NA,NA,NA,NA,NA,1402.79,8.86,-82.87,29.67,23.3,29.54
Bdeogale crassicauda,Negative,Negative,NA,no,62.2,-18.77,-28.88,1,1.72,1,1,NA,0.96,NA,NA,NA,1654322.83,-11.01,33.53,38.56,8.29,22.93
Bdeogale jacksoni,Negative,Negative,NA,no,62.2,-18.77,-28.88,NA,2.5,2,1,NA,NA,NA,NA,NA,81428.64,0.25,36.16,188.08,8.01,19.64
Catopuma badia,Negative,Negative,NA,no,44.91,5.04,66.65,NA,3.43,NA,1,NA,NA,NA,NA,NA,261512.24,2.84,115.07,12.38,27.86,22.79
Chrotogale owstoni,Negative,Negative,NA,no,59.14,-16.57,-24.52,2,3.27,6,1,NA,NA,NA,NA,NA,27879.9,22.03,105.03,297.26,13.69,18.31
Conepatus chinga,Negative,Negative,polygamous,no,-47.1,-12.87,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3247304.52,-24.6,-66.13,25.6,6.5,13.39
Conepatus humboldtii,Negative,Negative,NA,no,-47.1,-12.87,-0.16,1,1.1,1,2,NA,3.49,NA,NA,NA,709172.73,-45.97,-68.78,3.02,3.06,8.08
Conepatus semistriatus,Negative,Negative,polygamous,no,-47.1,-12.87,-0.16,1,2,6,2,NA,3.49,NA,NA,NA,2032658.27,4.29,-66.03,65.25,13.02,24.33
Crossarchus alexandri,Negative,Negative,NA,NA,62.27,-18.82,-28.97,NA,1.5,NA,1,NA,4,NA,NA,NA,1464819.63,-0.31,25.63,21.39,14.36,24.09
Crossarchus ansorgei,Negative,Negative,monogamous,yes,62.27,-18.82,-28.97,3,0.7,6,1,NA,NA,NA,NA,NA,604251.42,-3.67,20.06,9.34,15.43,25
Diplogale hosei,Negative,Negative,NA,NA,59.14,-16.57,-24.53,1,NA,6,1,NA,NA,NA,NA,NA,14471.88,5.41,116.42,34.39,25.77,23.13
Dologale dybowskii,Negative,Negative,NA,no,62.26,-18.82,-28.96,NA,0.36,NA,1,NA,4,NA,NA,NA,433013.15,2.78,28.71,39.34,12.44,23.43
Dusicyon australis,Negative,Negative,monogamous,yes,-6.83,85.24,-17.37,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eupleres goudotii,Negative,Negative,NA,no,60.49,-17.6,-26.61,2,2.76,6,1,NA,1,NA,NA,62.99,111808.26,-18.76,47.44,33.45,16.37,20.72
Felis bieti,Negative,Negative,polygamous,no,45.1,5.09,67.42,NA,5.49,NA,1,NA,NA,NA,NA,NA,383107.61,37.08,100.3,33.45,3.01,-0.49
Felis manul,Negative,Negative,polygamous,no,45.01,5.07,67.06,1,3.05,1,1,NA,4.83,NA,NA,NA,8390117.08,40.56,84.32,21.03,3,0.73
Felis margarita,Negative,Negative,NA,NA,45.09,5.09,67.41,1,2.82,1,1,197.7,4.12,NA,NA,NA,12141993.7,30.41,26.61,10.35,0.75,22.39
Galerella flavescens,Negative,Negative,NA,NA,62.16,-18.75,-28.83,NA,0.75,NA,1,NA,NA,NA,NA,NA,279748.74,-17.71,14.25,4.05,3.65,18.13
Galerella ochracea,Negative,Negative,NA,NA,62.16,-18.75,-28.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,452479.81,4.71,45.71,14.41,2.34,25.97
Galictis vittata,Negative,Negative,monogamous,yes,-56.41,-20.88,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,10078448.48,3.5,-66.73,18.86,15.96,24.8
Galidictis fasciata,Negative,Negative,monogamous,no,60.62,-17.69,-26.78,2,0.55,2,1,365,1,NA,NA,NA,87237.59,-19.6,48.5,33.5,17.86,19.78
Galidictis grandidieri,Negative,Negative,monogamous,yes,60.62,-17.69,-26.78,2,1.4,2,1,365,1,NA,NA,NA,4044.38,-24.29,43.96,13,4.32,24.18
Genetta abyssinica,Negative,Negative,NA,NA,59.73,-16.96,-25.25,NA,1.41,NA,1,NA,NA,NA,NA,NA,418638.21,12.72,40.62,55.58,6.12,23.26
Genetta angolensis,Negative,Negative,NA,NA,59.88,-17.05,-25.42,1,1.86,NA,1,NA,NA,NA,NA,NA,2087717.97,-9.97,26.29,19.81,9.41,21.64
Genetta johnstoni,Negative,Negative,NA,NA,59.8,-17,-25.33,NA,2.23,NA,1,NA,NA,NA,NA,NA,180606.44,6.86,-8.95,35.89,21.92,24.67
Genetta maculata,Negative,Negative,NA,NA,59.88,-17.05,-25.42,1,1.95,6,1,NA,2.12,NA,NA,NA,12805950.62,-5.9,23.09,34.65,9.68,23.32
Genetta pardina,Negative,Negative,NA,NA,59.88,-17.05,-25.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,1125427.08,8.96,-8.07,50.48,14.63,26.24
Genetta piscivora,Negative,Negative,NA,no,59.86,-17.04,-25.41,1,1.65,1,2,NA,0.96,NA,NA,NA,222754.63,0.61,24.78,18.8,14.49,23.63
Genetta servalina,Negative,Negative,NA,NA,59.86,-17.04,-25.41,1,1.18,6,1,NA,1.5,NA,NA,NA,3667035.54,-1.88,24.13,30.75,13.35,23.67
Genetta thierryi,Negative,Negative,NA,NA,59.73,-16.96,-25.25,NA,1.4,NA,1,NA,NA,NA,NA,NA,2289307.11,11.31,-1.18,73.19,10.86,26.57
Genetta victoriae,Negative,Negative,NA,NA,59.76,-16.97,-25.28,NA,2.74,NA,1,NA,NA,NA,NA,NA,657455.4,0.24,23.91,25.47,14.01,23.44
Helogale hirtula,Negative,Negative,monogamous,yes,62.26,-18.82,-28.96,3,0.48,1,1,NA,NA,NA,NA,NA,1080149.67,1.75,42.13,23.39,4.19,24.2
Herpestes brachyurus,Negative,Negative,NA,NA,62.12,-18.72,-28.78,1,1.4,1,1,NA,3.49,NA,NA,NA,1313618.8,3.19,107.76,65.98,24.37,24.84
Herpestes fuscus,Negative,Negative,NA,NA,62.17,-18.75,-28.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,91597.58,10.17,78.62,332.93,13.28,25.52
Herpestes naso,Negative,Negative,NA,NA,62.13,-18.72,-28.78,1,3,1,1,NA,NA,NA,NA,NA,2499072.82,-2.46,17.58,22.84,14.77,24.27
Herpestes semitorquatus,Negative,Negative,NA,NA,62.17,-18.75,-28.85,NA,NA,NA,1,NA,NA,NA,NA,NA,209629.86,0.32,109.16,41.72,27.38,24.15
Herpestes smithii,Negative,Negative,NA,NA,62.17,-18.75,-28.85,1,1.7,6,1,NA,2.5,NA,NA,NA,1629561.03,15.21,80.19,321.15,9.98,25.87
Herpestes vitticollis,Negative,Negative,NA,NA,62.13,-18.72,-28.78,2,2.38,NA,1,NA,2.73,NA,NA,NA,197229,10.47,78.28,377.61,12.97,25.84
Leopardus braccatus,Negative,Negative,NA,NA,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,935418.44,-24.26,-54.78,17.31,11.42,21.3
Leopardus colocolo,Negative,Negative,NA,NA,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,180642.4,-25.46,-69.95,46.92,2.59,1.24
Leopardus geoffroyi,Negative,Negative,NA,no,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,3653843.2,-33.21,-61.27,11.82,6.84,15.72
Leopardus guigna,Negative,Negative,NA,no,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,190039.77,-39.4,-72.53,47.1,10.29,8.36
Leopardus jacobitus,Negative,Negative,NA,no,45.07,5.08,67.31,NA,8.13,1,1,NA,NA,NA,NA,NA,931676.41,-20.56,-69.36,15.71,8.09,9.58
Leopardus pajeros,Negative,Negative,NA,NA,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,2316055.55,-26.41,-70.23,8.82,7.94,13.58
Leopardus tigrinus,Negative,Negative,NA,no,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,11884529.12,-9.35,-59.58,25.54,14.62,23.82
Liberiictis kuhni,Negative,Negative,NA,yes,62.25,-18.8,-28.94,3,1.83,6,1,NA,NA,NA,NA,NA,125428.68,6.42,-9.34,33.18,24,24.48
Lontra felina,Negative,Negative,monogamous,no,-56.5,-20.96,-0.31,3,11.2,2,2,365,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lontra longicaudis,Negative,Negative,polygamous,no,-56.5,-20.96,-0.31,2,6.55,2,3,NA,3.69,NA,NA,NA,12885820.36,-6,-72.98,24.64,14.86,23.51
Lontra provocax,Negative,Negative,polygamous,yes,-56.5,-20.96,-0.31,NA,7.5,2,2,NA,NA,NA,NA,NA,804793.49,-47.02,-69.24,3.79,5.35,7.53
Lutra nippon,Negative,Negative,NA,NA,-56.5,-20.96,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,305747.47,39.47,138.34,323.22,12.51,8.34
Lutra sumatrana,Negative,Negative,NA,NA,-56.5,-20.96,-0.31,NA,5.97,1,2,NA,NA,NA,NA,NA,1333065.92,2.88,107.22,181.06,22.89,24.92
Lycalopex fulvipes,Negative,Negative,monogamous,no,-6.83,85.29,-17.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,8795.59,-40.4,-73.68,24.53,15.35,10.5
Lycalopex griseus,Negative,Negative,monogamous,yes,-6.83,85.29,-17.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1620863.23,-38.9,-68.23,12.37,4.97,11.14
Lyncodon patagonicus,Negative,Negative,NA,NA,-49.72,-15.28,-0.2,2,0.23,NA,1,NA,NA,NA,NA,NA,834663.98,-38.91,-69.04,4.91,2.97,10.02
Lynx pardinus,Negative,Negative,polygamous,no,45.06,5.08,67.27,NA,11.05,1,1,NA,2.5,NA,NA,NA,27058.5,39.94,-2.91,36.98,4.84,13.37
Macrogalidia musschenbroekii,Negative,Negative,NA,no,59.19,-16.6,-24.58,NA,5.15,6,1,NA,NA,NA,NA,NA,22966.97,-0.85,122.28,37.15,22.69,19.71
Martes gwatkinsii,Negative,Negative,monogamous,yes,-55.99,-20.52,-0.3,2,2.04,3,1,NA,NA,NA,NA,90.73,9366.98,9.88,76.88,509.72,15.54,26
Martes melampus,Negative,Negative,NA,no,-56.01,-20.54,-0.3,NA,1,NA,1,NA,NA,NA,NA,NA,377250.77,36.26,134.09,400.13,13.3,10.3
Melogale everetti,Negative,Negative,NA,no,-55.4,-20.03,-0.29,2,NA,6,1,NA,2,NA,NA,NA,213.93,6.08,116.54,89.5,22.75,23.65
Melogale orientalis,Negative,Negative,NA,yes,-55.4,-20.03,-0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,13388.78,-7.52,110.97,984.27,20.2,23.82
Melogale personata,Negative,Negative,NA,no,-55.4,-20.03,-0.29,2,1.85,6,1,NA,2.5,NA,NA,NA,312496.33,18.19,97.95,193.5,16,22.81
Mephitis macroura,Negative,Negative,monogamous,no,-47.14,-12.9,-0.16,2,1.1,1,1,NA,4.68,NA,NA,NA,1791883.52,23.58,-99.25,53.35,6.11,18.77
Monachus tropicalis,Negative,Negative,NA,no,-41.93,-5.22,0.03,NA,197.76,1,2,547.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mungos gambianus,Negative,Negative,NA,yes,62.25,-18.81,-28.95,3,1.64,6,1,NA,NA,NA,NA,NA,1729257.01,9.06,-1.11,70.87,13.22,26.3
Mustela africana,Negative,Negative,polygamous,NA,-56.36,-20.84,-0.31,NA,0.54,NA,1,NA,NA,NA,NA,NA,4349020.29,-4.15,-60.71,3.27,18.26,25.33
Mustela altaica,Negative,Negative,polygamous,no,-56.48,-20.94,-0.31,2,0.18,1,1,365,5.44,NA,NA,56,7652386.33,41.08,103.12,66.51,5.09,-0.61
Mustela felipei,Negative,Negative,monogamous,no,-56.36,-20.84,-0.31,NA,0.21,NA,1,NA,NA,NA,NA,NA,2258.77,2.02,-76.59,45.99,11.4,13.1
Mustela itatsi,Negative,Negative,polygamous,no,-56.5,-20.95,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,362403.77,38.25,137.69,312.45,13.22,9.06
Mustela kathiah,Negative,Negative,NA,no,-56.42,-20.89,-0.31,NA,0.26,1,1,NA,NA,NA,NA,NA,320536.51,24.93,100.49,322.41,12.03,15.48
Mustela lutreolina,Negative,Negative,polygamous,no,-56.51,-20.96,-0.31,2,0.47,1,1,NA,NA,NA,NA,NA,52045.25,-5.4,106.38,696.72,23.66,24.55
Mustela nudipes,Negative,Negative,polygamous,no,-56.51,-20.96,-0.31,NA,0.57,NA,1,NA,4,NA,NA,NA,1430581.79,-0.87,107.22,149.19,23.95,24.8
Mustela strigidorsa,Negative,Negative,polygamous,NA,-56.51,-20.96,-0.31,NA,1.5,NA,1,NA,NA,NA,NA,NA,453670.13,19.97,96.48,81.35,16.33,15.96
Mustela subpalmata,Negative,Negative,polygamous,no,-56.48,-20.94,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,51212.85,30.53,30.54,607.53,0.53,20.13
Mydaus javanensis,Negative,Negative,NA,NA,-46.88,-12.73,-0.16,1,2.5,6,1,NA,NA,NA,NA,NA,764817.16,-0.8,107.18,188.31,24.24,24.89
Mydaus marchei,Negative,Negative,NA,no,-46.88,-12.73,-0.16,2,2.5,NA,1,NA,NA,NA,NA,NA,12526.74,10.33,118.75,41.8,22.4,24.98
Nasuella olivacea,Negative,Negative,polygamous,yes,-50.1,-15.43,-0.2,2,1.34,6,1,NA,NA,NA,NA,NA,111926.53,3.91,-74.3,79.9,11.87,17.7
Neovison vison,Negative,Negative,polygamous,no,-56.36,-20.84,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,13218592.49,48.16,-111.87,20.21,5.54,1.49
Paracynictis selousi,Negative,Negative,NA,NA,62.19,-18.77,-28.87,1,1.67,1,1,NA,2,NA,NA,NA,2095494.67,-19.04,25.34,18.41,7.31,21.29
Pardofelis marmorata,Negative,Negative,NA,no,44.91,5.04,66.64,1,2.83,1,1,NA,2,NA,NA,NA,2298300.89,11.32,101.34,77.52,20.23,22.69
Poiana leightoni,Negative,Negative,NA,NA,59.64,-16.9,-25.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,188494.8,6.45,-8.1,40.05,20.09,24.97
Prionailurus iriomotensis,Negative,Negative,monogamous,no,45.07,5.08,67.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.7,24.33,123.8,365,NA,NA
Prionailurus planiceps,Negative,Negative,NA,no,45.06,5.08,67.28,1,3.53,2,1,NA,NA,NA,NA,NA,1100389.34,1.06,107.09,74.47,24.07,25.03
Prionailurus rubiginosus,Negative,Negative,monogamous,no,45.06,5.08,67.28,1,1.42,1,1,NA,2.23,NA,NA,NA,1372527.48,14.64,78.1,331.4,9.56,26.12
Prionodon pardicolor,Negative,Negative,NA,no,31.92,1.68,10.47,1,1.14,6,1,182.5,2,NA,NA,NA,1096040.96,21.41,97.91,112.92,14.27,18.26
Procyon pygmaeus,Negative,Negative,polygamous,no,-50.12,-15.44,-0.21,1,2.96,3,1,NA,NA,NA,NA,NA,490.76,20.42,-86.87,67.63,12.3,25.6
Rhynchogale melleri,Negative,Negative,NA,NA,62.17,-18.75,-28.84,1,2.24,6,1,NA,2,NA,NA,NA,2352914.33,-14.93,30.73,28.1,8.23,22.12
Spilogale gracilis,Negative,Negative,polygamous,yes,-47.17,-12.92,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3831634.7,36.59,-112.01,22.96,3.41,11.77
Spilogale pygmaea,Negative,Negative,NA,NA,-47.17,-12.92,-0.16,2,0.37,6,1,NA,4,NA,NA,NA,95598.41,19.49,-100.42,36.44,9.72,21.71
Viverra civettina,Negative,Negative,NA,NA,59.01,-16.49,-24.37,1,12.06,6,1,NA,NA,NA,NA,NA,14075.26,10.87,76.27,521.43,19.25,25.79
Viverra megaspila,Negative,Negative,NA,NA,59.01,-16.49,-24.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1595937.43,12.1,101.83,136.81,16.26,24.21
Vulpes rueppellii,Negative,Negative,monogamous,yes,-6.8,84.34,-17.14,1,3.25,1,1,NA,2.12,NA,NA,NA,11669070.9,24.61,27.22,23.42,0.87,22.18
Atilax paludinosus,Negative,Positive,NA,NA,62.12,-18.71,-28.77,2,3.6,6,2,182.5,2,17.42,0.64,35.89,14296320.45,-8.88,12.52,37.15,9.99,23.34
Suricata suricatta,Negative,Positive,monogamous,yes,62.23,-18.79,-28.92,3,0.73,1,1,365,3.86,12.5,1.03,55.68,1720747.74,-24.77,21.29,10.05,2.66,17.58
Crocuta crocuta,Negative,Positive,polygamous,yes,58.63,-16.33,-24.16,1,63.37,1,1,441.04,1.91,41.1,2.16,371.37,14790149.69,-5.14,16.93,33.56,7.83,23.85
Paradoxurus zeylonensis,Negative,Positive,NA,no,59.2,-16.61,-24.6,1,2.82,6,1,NA,2.5,NA,NA,NA,5405.27,6.93,80.63,443.85,17.03,24.58
Herpestes javanicus,Positive,Positive,NA,yes,62.17,-18.75,-28.85,3,0.75,6,1,152.08,2.21,10,0.46,43.59,6880297.87,14.29,78.4,188.18,9.6,20.82
Spilogale putorius,Positive,Positive,NA,NA,-47.17,-12.92,-0.16,1,0.57,6,1,243.33,5.07,10,0.54,55.68,2957350.08,37.14,-92.13,32.08,7.25,13.42
Canis mesomelas,Positive,Positive,monogamous,yes,-6.82,85.01,-17.31,2,8.25,6,1,273.75,3.89,14,0.66,34.1,6248779.95,-9.18,31.56,30.81,4.93,21.33
Canis adustus,Positive,Positive,monogamous,yes,-6.82,85.01,-17.31,1,10.39,6,1,NA,4.5,11.42,0.68,52.89,10581413.14,-6,13,35.2,9.08,23.65
Cerdocyon thous,Positive,Positive,monogamous,yes,-6.83,85.21,-17.36,1,5.74,7,1,243.33,3.09,11.5,0.76,72.33,7091683.41,-11.22,-55.68,35.64,11.87,23
Vulpes lagopus,Positive,Positive,monogamous,yes,-6.8,84.34,-17.14,2,3.58,1,1,365,7.65,15,0.81,49.5,16988732.37,65.45,0,2.84,3,-9.04
Vulpes vulpes,Positive,Positive,polygamous,no,-6.8,84.34,-17.14,1,4.82,1,1,365,4.59,15,0.88,50.71,63034304.34,43.1,0,66.44,4.66,3.43
Nyctereutes procyonoides,Positive,Positive,polygamous,yes,-6.75,83.16,-16.84,1,4.21,6,1,365,6.36,14,0.89,49.69,6704451.99,38.26,109.24,186.51,7.01,5.67
Cynictis penicillata,Positive,Positive,NA,yes,62.19,-18.77,-28.87,3,0.69,1,1,365,2.15,15.2,0.96,41.76,2233627.48,-25.71,22.04,15.27,3.33,18.42
Urocyon cinereoargenteus,Positive,Positive,monogamous,yes,-6.75,83.15,-16.84,2,3.83,6,1,365,3.71,15,0.96,63.79,9010481.09,26.13,-94.96,52.72,7,14.84
Mephitis mephitis,Positive,Positive,polygamous,no,-47.14,-12.9,-0.16,1,2.4,6,1,365,5.7,12.92,0.97,55.15,12277338.73,43.15,-94.89,28.88,5.27,7.6
Canis aureus,Positive,Positive,monogamous,yes,-6.82,85.13,-17.34,2,9.66,6,1,365,3.74,16,1.02,61.3,25739527.43,21.14,45.74,79.29,4.46,21.72
Canis latrans,Positive,Positive,monogamous,yes,-6.82,85.13,-17.34,2,11.99,1,1,365,5.72,21.83,1.02,43.71,17099094.3,39.7,-117.6,27.27,5.3,5.82
Otocyon megalotis,Positive,Positive,monogamous,yes,-6.75,83.14,-16.83,2,4.1,1,1,182.5,4,13.8,1.15,42.46,5001822.67,-12.59,31.54,24.86,4.58,21.01
Galerella sanguinea,Positive,Positive,polygamous,no,62.16,-18.74,-28.82,3,0.54,6,1,182.5,2.5,6,1.28,54.44,16368169.48,-7.06,16.93,33.39,8.49,23.33
Procyon lotor,Positive,Positive,polygamous,yes,-50.12,-15.44,-0.21,2,6.37,6,2,365,3.06,21,1.54,104.16,11703644.72,32.99,-94.43,38.77,6.33,11.18
Canis lupus,Positive,Positive,monogamous,yes,-6.82,85.13,-17.34,2,31.76,1,1,365,4.98,29.5,1.86,44.82,50803439.7,47.38,3.9,37.87,3.48,0.48
Potos flavus,Positive,Positive,polygamous,yes,-49.51,-15.02,-0.2,1,2.44,4,2,365,1.11,29,2.35,109.13,12770952.51,0.3,-68.67,25.77,15.37,24.15
Nasua narica,Positive,Positive,NA,yes,-50.11,-15.44,-0.2,2,4.58,6,1,365,4,17.67,2.76,132.63,2329129.95,21.26,-95.33,46.82,8.62,20.56
Vulpes corsac,Positive,Positive,monogamous,yes,-6.8,84.34,-17.14,1,2.62,6,1,365,5.62,NA,2.81,54.56,6378396.4,41.96,92.4,22.43,1.94,3.78
Melogale moschata,Positive,Positive,NA,NA,-55.87,-20.43,-0.3,2,0.94,6,1,NA,2,10.5,NA,NA,1476533.73,25.77,107.91,325.78,12.03,16.38
Lycalopex sechurae,Positive,Positive,NA,NA,-6.83,85.29,-17.38,1,4.23,7,1,NA,NA,NA,NA,NA,75180.74,-8.14,-78.77,142.69,1.5,16.93
Lycalopex vetulus,Positive,Positive,monogamous,no,-6.83,85.29,-17.38,NA,4.23,6,1,365,3,NA,NA,NA,1486644.88,-14.56,-45.67,18.02,11.25,23.01
